公告id	股东全称	股东简称	变动截止日期	变动价格	变动数量	变动后持股数	变动后持股比例
1138218	新疆东方世纪	新疆东方世纪	2013-06-27	12.13	13.14		
1141380	深圳市创新投资集团有限公司	深圳创新投	2012-11-16	9.21	41.86		
1142797	南京长江油运公司	南京油运	2011-02-01		16194661		
1143793	中国工商银行股份有限公司湖北省分行		2011-07-07		3751202		
1147502	国网深圳能源发展集团有限公司	国网深圳能源发展集团有限公司	2009-09-07		609.22	0	0
1148508	君慧创投	君慧创投	2012-06-05	9.9	374		
1148508	联想控股	联想控股	2012-06-05	9.9	136		
1154149	投资股份有限公司	新疆维实	2012-08-02	16.65	2700000		
1154149	投资股份有限公司	新疆维实	2012-08-10	17.80	3200000		
1154149	投资股份有限公司	新疆维实	2012-09-06	17.80	1200000		
1154149	投资股份有限公司	新疆维实	2012-09-07	18.01	2000000		
1154149	投资股份有限公司	新疆维实	2013-01-15	16.50	2000000		
1154149	投资股份有限公司	新疆维实	2013-05-21	15.75	2500000		
1154149	投资股份有限公司	新疆维实	2013-05-27	16.70	3000000		
1154149	投资股份有限公司	新疆维实	2013-05-30	18.00	1000000	0	0
1158401	江苏凤凰出版传媒股份有限公司	公司	2013-05-22		25000000		
1158401	江苏凤凰出版传媒股份有限公司	公司	2013-05-22		25000000		
1159110	新余德信	新余德信	2013-05-10	26.35	586500		
1159110	新余德信	新余德信	2013-05-21	14.84	5000000	0	0
1159569	鹏欣集团		2013-05-21		487500		
1159569	鹏欣集团		2013-05-21		5313450		
1159569	上海鹏欣（集团）有限公司		2013-05-21		5800950		
1163122	华谊兄弟传媒股份有限公司	华谊兄弟	2013-05-13	58	1600000		
1163122	华谊兄弟传媒股份有限公司	华谊兄弟	2013-05-15	55	3500000		
1163814	珠海普天和平电信工业有限公司	珠海普天和平电信工业有限公司	2010年11月	25.34	149.82		
1166649	洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）	洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）	2009年2月		64500		
1166649	洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）	洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）	2009年3月		4675505		
1166649	洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）	洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）	2009年4月		746104		
1166649	洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）	洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）	2009-05-04		753900		
1166649	洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）	洋浦高盛汇邦投资有限公司（以下简称“汇邦投资”）	2009-05-11		1200000		
1168649	斯米克工业有限公司	斯米克工业	2011-03-21	13.60	1261000	-	-
1168649	太平洋数码有限公司	太平洋数码	2011-03-24	14.18	150000		
1168649	太平洋数码有限公司	太平洋数码	2011-03-29	14.09	7800000	-	-
1175314	爱众集团		2011-12-22		48000		
1175314	爱众集团		2011-12-30		8731600		
1175314	爱众集团		2011-12-22		9717800		
1175942	冀东发展集团有限责任公司	冀东发展	2012-07-11		14016940		
1175942	深圳证券交易所		2012-07-11		698300		
1175942	冀东发展集团有限责任公司	冀东发展	2012-08-28		13318640		
1175942	冀东发展集团有限责任公司	冀东发展	2012-08-28		14016940		
1176878	深圳证券交易所		2009-08-12		4528326		
118943	矿业投资有限公司	中弘矿业	2015-03-30	5.65	34000000		
1191730	创新资本	创新资本	2011-09-08	13.86	114.61		
1191730	创新资本	创新资本	2011-09-21	13.00	200		
119249	江苏紫金电子集团有限公司	紫金电子	2015-03-31		59585942	59585942	0.0378
1192515	深圳市益峰源实业有限公司		2011-09-20		5170000		
119349	上海海欣集团股份有限公司	上海海欣集团股份有限公司	2014-07-29	5.33	上海海欣集团股份有限公司		
119349	上海海欣集团股份有限公司	上海海欣集团股份有限公司	2014-12-31	15.86	上海海欣集团股份有限公司		
119349	上海海欣集团股份有限公司	上海海欣集团股份有限公司	2015-03-30	15.87	上海海欣集团股份有限公司		
1194639	山田林业	山田林业	2012-02-22	6.02元	10000000		
1197188	上海科星创业投资有限公司	上海科星	2012-07-20	25.00	250	0	0
1197188	华翘国际有限公司	华翘国际	2012-07-20	25.00	260	690	5.65
1197962	广东粤文投资有限公司	广东粤文投资有限公司	2012-03-20	6.5	264.6525		
1197962	广东粤文投资有限公司	广东粤文投资有限公司	2012-03-20	6.5	264.6525		
119918	南通友谊实业有限公司	友谊实业	2015-03-30	12.02	800		
119918	南通友谊实业有限公司	友谊实业	2015-03-31	13.22	277		
12025230	廊坊市投资控股集团有限公司	廊坊控股	2016-08-09		7443700		
12025230	廊坊市投资控股集团有限公司	廊坊控股	2016-08-09		7903700		
12025230	上海证券交易所		2016-08-09		7443700	58173700	0.153
1203611	西安交大博通资讯股份有限公司	本公司	5月18日下午		80000		
12046683	森源集团	森源集团	2016-05-06	17.78	6999899		
12046683	森源集团	森源集团	2016-05-09	17.39	2999912		
12047112	天地实业	天地实业	2016-05-19	6.11	20000000		
12047112	天地实业	天地实业	2016-08-05	8.65	6000000		
12047112	天地实业	天地实业	2016-08-16	11.78	1545200	90207800	4.9999
12056580	浙江省二轻集团公司	二轻集团	2016-04-13	21.40	8000000		
12056580	浙江省二轻集团公司	二轻集团	2016-05-05	20.02	5000000		
12056580	浙江省二轻集团公司	二轻集团	2016-05-31	18.66	5000000		
12056580	浙江省二轻集团公司	二轻集团	2016-06-28	18.25	3000000		
12056580	浙江省二轻集团公司	二轻集团	2016-06-29	18.13	3000000		
12056580	浙江省二轻集团公司	二轻集团	2016-06-30	18.18	2500000		
12056580	浙江省二轻集团公司	二轻集团	2016-08-17	19.32	2000000		
1207978	深圳力合创业投资有限公司	力合创投	2009-11-23		3450856	26170389	7.59
1212973	2009年5月8日山东京博		2009-05-04		3732594		
1212973	山东京博		2009-05-04		10732954	7000360	
1214590	香港普林持有公司		2009-03-11		49069500	2580130	0.0105
1219469	三友集团		2011-10-18		461537		
1223167	BROOKINVESTMENTLTD	BROOKINVESTMENTLTD	2011-03-23	24.89	100		
1223167	BROOKINVESTMENTLTD	BROOKINVESTMENTLTD	2011-05-11	20.13	200		
1223167	BROOKINVESTMENTLTD	BROOKINVESTMENTLTD	2011-05-17	19.39	200		
1223167	BROOKINVESTMENTLTD	BROOKINVESTMENTLTD	2011-05-20	19.28	250		
1223167	BROOKINVESTMENTLTD	BROOKINVESTMENTLTD	2011-05-26	18.47	250	136000000	0.1675
122428	南方工业资产管理有限责任公司	南方工业资产管理有限责任公司	2015-04-01	26.81	1868600		
1224586	青海中金创业投资有限公司		2012-05-25		8700000		
1225222	内蒙古金宇集团股份有限公司		2011-03-03		14938200		
1227269	上海领汇创业投资有限公司	上海领汇创业投资有限公司	2012-12-11	10.10	621800		
1228096	新疆奕飞	新疆奕飞	2012-10-10	9.43	100		
1228096	新疆奕飞	新疆奕飞	2012-10-30	8.98	300	0	0
1232036	珠海市欧比特投资咨询有限公司	珠海市欧比特投资咨询有限公司	2011-06-21	10.627	38.51		
1232036	珠海市欧比特投资咨询有限公司	珠海市欧比特投资咨询有限公司	2011-05-20	22.75	40		
1232036	珠海市欧比特投资咨询有限公司	珠海市欧比特投资咨询有限公司	2011-06-22	9.1	100		
1232036	珠海市欧比特投资咨询有限公司	珠海市欧比特投资咨询有限公司	2011-06-22	10.2	178.51	-	-
1234889	SAIFIII	SAIFIII	2012-09-11	16.91	176		
1234889	TQM	TQM	2012-09-11	16.91	44		
1236850	河北金牛化工股份有限公司	本公司	2010-03-19		5000000	26832683	0.0637
1237585	华翘国际有限公司	华翘国际	2012-09-07	25.00	100	0	0
1240569	深圳证券交易所		2008-09-26		729950		
1240569	中钢集团		2008-11-12		451733		
1243797	天津市医药集团有限公司	医药集团	2008-11-03		1183428		
1246538	北京科技风险投资股份有限公司	北京科技	2010-11-19	21.08	150		
1247767	财务有限责任公司	财务公司	2013-03-01		10201817		
1247808	上海昆吾九鼎投资发展中心（有限合伙）	上海昆吾九鼎投资发展中心（有限合伙）	2012-08-09	28.73	256		
1249066	SAIFIII	SAIFIII	2012-08-22	17.83	160		
1249066	TQM	TQM	2012-08-22	17.83	40		
1256676	海利集团		2010-08-24		71650060	67650060	0.2639
1257582	浙江省电力燃料有限公司	省电力	2011-02-16		8711457	105089400	0.1206
1257681	山西省风陵渡开发区众力投资发展有限公司	众力投资	2009-08-05		15000000		
1257681	山西省风陵渡开发区众力投资发展有限公司	众力投资	2009-08-05		18215000		
1258409	深圳证券交易所		2010-11-23	21.84	4500000		
1258409	深圳证券交易所		2010-11-22	22.85	1200000		
1258409	广州智光电气股份有限公司	本公司	2010-11-22		5700000	55621594	0.3131
1259638	深圳证券交易所		2011-06-03		4170000		
1259638	宏远集团持有公司		2011-06-03		87086507		
1259638	宏远集团持有公司		2011-06-03		91256507	91256507	
1261269	深圳市冠德成科技发展有限公司	深圳市冠德成科技发展有限公司	2011-03-07	12.39	3009786		
1264611	上海市糖业烟酒（集团）有限公司	上海糖酒	2012-12-28		8063607		
1264611	上海市糖业烟酒（集团）有限公司	上海糖酒	2012-12-28		153020195	153020195	0.02
1265466	深圳市创新资本投资有限公司	深圳市创新资本投资有限公司	2011-09-01	15.37	189.39		
1267015	2011013北京昊华能源股份有限公司		2011-04-11		4540000		
1269538	江西洪城水业股份有限公司	洪城水业	2011-12-13		200000		
1269538	江西洪城水业股份有限公司	洪城水业	2012-07-30		3300029		
1271220	深圳证券交易所		2012-12-11		3300300		
1272725	吉林石岘纸业有限责任公司		2010-10-29		2000000		
1272725	上海证券交易所		2010-11-02		5000000		
1272725	上海证券交易所		2010-11-02		84390100		
1274433	石家庄永生集团股份有限公司	石家庄永生集团股份有限公司	2012-12-04	5.04	石家庄永生集团股份有限公司		
1279297	汇金公司		2010-10-08		5126029		
1295547	上海旭森世纪投资有限公司		2012-10-25		1200000		
1304498	广州发展集团有限公司	发展集团	2012-06-28		22283597		
1304498	广州发展集团有限公司	发展集团	2012-10-19		37121129		
1319500	深圳东金新材料创业投资有限公司	深圳东金新材料创业投资有限公司	2011-07-06	18.19	600000		
1319500	深圳东金新材料创业投资有限公司	深圳东金新材料创业投资有限公司	2010-07-08	17.47	600000		
1319500	深圳东金新材料创业投资有限公司	深圳东金新材料创业投资有限公司	2011-07-11	17.64	600000		
1319500	深圳东金新材料创业投资有限公司	深圳东金新材料创业投资有限公司	2011-07-12	17.47	310000		
1319595	中国机械进出口（集团）有限公司	中机公司	2011-04-06		4278400		
1320365	厦门建发股份有限公司	本公司	2011-05-06		3464524		
1320482	听音	听音	2012-06-12	7.79	495000		
1320482	听音	听音	2012-06-15	7.79	495000		
1320482	听音	听音	2012-06-26	7.40	995700		
1327560	山东黑豹集团有限公司		2010-09-30		13650234		
1330245	长虹集团		2011-09-23		7824324		
1330245	长虹集团		2011-07-04		1020000		
1330393	PHILIPSELECTRONICSCHINAB.V.	PHILIPSELECTRONICSCHINAB.V.	2011-03-30	4.16/股	15486		
1333735	深圳证券交易所		2012-08-08		1920000		
1338037	东银集团		2012-03-20		7200040		
1338037	东银集团		2012-03-16		2181769		
133916	青海天象		2009-02-16		10135000		
1342910	西安交大博通资讯股份有限公司	本公司	2月29日下午		626371		
1354974	联通集团		2008-09-24		49999932	12924318307	0.6097
1363263	深圳市创新投资集团有限公司	深圳市创新投资集团有限公司	2012-05-22	16.65	61.1851	-	-
1363263	深圳市福田创新资本创业投资有限公司	深圳市福田创新资本创业投资有限公司	2012-05-23	16.38	58.4149	-	-
1372988	兰州民百（集团）股份有限公司	本公司	2008-10-27		1851009		
1372988	兰州民百（集团）股份有限公司	本公司	2008-10-27		62974959	64825968	0.2467
1377378	西安交大博通资讯股份有限公司	本公司	3月26日下午		2566040		
1388787	兰州民百（集团）股份有限公司	本公司	2008-11-04		1595259		
1388787	兰州民百（集团）股份有限公司	本公司	2008-11-04		64825968	66421227	0.2528
1396327	安徽江淮汽车集团有限公司	江汽集团	2008-12-03		1013409	447906544	0.3476
141989	荣冠投资有限公司	荣冠投资	2013-03-05		22320000		
1422409	中水汇金资产管理（北京）有限公司	中水汇金资产管理（北京）有限公司	2011-12-16	15.24	6.18		
1422409	中水汇金资产管理（北京）有限公司	中水汇金资产管理（北京）有限公司	2012-02-14	13.28	800		
1423684	广汇集团		2011-10-12		29803717		
1424359	深圳证券交易所		2012-01-13	4.43	1664541		
1424359	深圳证券交易所		2012-01-13	4.43	1664541		
14256220	绵阳基金	绵阳基金	2016-07-15	不低于28.36。（转增后调整为14.13）	647.6		
142850	上海兴盛实业发展（集团）有限公司	兴盛集团	2013-03-26		5725000		
14318007	紫光股份有限公司	紫光股份	2016-08-30	15.79	紫光股份有限公司	55218800	0.0499
1433803	广汇集团		2011-10-12		15417729		
1434861	曼哈顿集团		2008-02-18		5038151		
1435212	中国物资储运总公司	中储总公司	2011-12-13		8401070		
1435212	中国物资储运总公司	中储总公司	2011-10-11		2185700		
143623	复星集团		2013-02-21		5518785		
14367	网维投资	网维投资	2014-05-23	17.24	907600	-	-
1440454	吉林石岘纸业有限责任公司		2008-12-19		4486000		
1440454	吉林石岘纸业有限责任公司		2008-12-19		8866000		
1440791	杭州信雅达电子有限公司	电子公司	2007-11-09		1290000		
1440791	杭州信雅达电子有限公司	电子公司	2008-12-29		2204460		
1442009	国际投资有限公司	广州攀达	2009-07-17		4540000	61476140	0.4879
1442432	浙江博康医药投资有限公司		2009-10-05		1129228		
1445149	保利集团		2009-09-08		6367006		
1445966	亿阳集团		2009-09-03		11500000	136648352	
1446149	华仪集团		2009-07-20		12178695	125210000	0.4569
1451546	上海海鸟企业发展股份有限公司	本公司	2010-03-15		900000		
1452962	晋西集团		2011-10-12		537222	91509018	0.3028
1455125	深圳市富安控股有限公司	富安控股	2010-01-13		16604480	16604480	0.1
146099	天津）水务有限公司	国中天津	2013-01-28		21360000		
146099	天津）水务有限公司	国中天津	2013-01-28		42700000	187025000	0.4378
146137	上海证券交易所		2012-12-31		529528		
1462442	蓝光集团		2011-03-18		1668200		
1462442	蓝光集团		2011-03-18		6841800		
14629944	上海科技创业投资有限公司	上海科创	2016-09-02	22.96	825946	0	0
14630536	股东大连承运投资集团有限公司	承运投资	2016-09-01	10.39	6000000		
14630536	股东大连承运投资集团有限公司	承运投资	2016-09-01	10.39	9000000		
146597	汉商集团		2013-01-07		2269299		
14704323	石河子三和股权投资合伙企业（有限合伙）	石河子三和股权投资合伙企业（有限合伙）	20160909	18.71元	425		
14704323	石河子三和股权投资合伙企业（有限合伙）	石河子三和股权投资合伙企业（有限合伙）	20160912	17.56元	74.46		
147141	长沙矿冶研究院有限责任公司	长沙矿冶院	2013-01-28		40000	66204167	0.4136
14766024	九鼎集团全资子公司拉萨昆吾产业投资管理有限公司	拉萨昆吾	2016-09-22		2327845		
14780642	苏州文景	苏州文景	2016-08-09	38.74	1500000		
14780642	苏州文景	苏州文景	2016-08-10	37.41	1000000	189.12	2.15
14780642	苏州嘉岳	苏州嘉岳	2016-09-23	53.70	1900000	710	8.07
14788254	科泰控股有	科泰控股有	2016-09-20	23.33	300		
14788254	限公司	限公司	2016-09-27	19.99	200		
14788254	新疆荣旭泰投资有限合伙企业	新疆荣旭泰投资有限合伙企业	2016-09-19	22.95	190		
14788254	新疆荣旭泰投资有限合伙企业	新疆荣旭泰投资有限合伙企业	2016-09-27	19.99	100		
14788254	汕头市盈动电气有限公司	盈动电气	2016-09-27	19.99	16		
14788254	蔡行荣	蔡行荣	2016-09-27	20.44	6.1875		
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-09-19	13.67	400		
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-09-19	13.67	200		
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-09-19	13.67	600		
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-09-08	13.38	200		
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-09-07	13.07	200		
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-06-16	12.94	120	0	0
1483612	重庆科技风险投资有限公司	重庆风投	2011-07-18	23.98	13.65		
1483612	重庆科技风险投资有限公司	重庆风投	2011-07-19	22.08	200		
14878434	三峡资本	三峡资本	2016-04-28	5.01-5.04	920000		
14878434	三峡资本	三峡资本	2016年5月	5.01-5.05	3493100		
14878434	三峡资本	三峡资本	2016年6月	5.01-5.52	34540100		
14878434	三峡资本	三峡资本	2016年7月	5.40-6.84	54484432		
14878434	三峡资本	三峡资本	2016年8月	6.01-6.45	6697047		
14878434	三峡资本	三峡资本	2016年9月	5.78-6.10	21900522	767095103	0.0767
149003	富润集团		2011-12-28		148282		
149003	富润集团		2012-12-27		148282		
1495343	亚星集团		2010-05-10		128572500	126422500	0.5746
1497886	中天科技集团		2011-05-23		4529226	92432785	0.2881
150232	中国医药保健品股份有限公司	本公司	2012-12-13		15547891		
150232	中国通用技术（集团）控股有限责任公司	通用技术集团	2012-12-13		205555891	205555891	0.661
1503003	上海证券交易所		2010-12-31		12876654		
15033461	光大集团		2016-07-15		10000000		
15200887	湖南华夏投资集团有限公司	湖南华夏投资集团有限公司	2014-12-31	8.28	1500000		
15200887	湖南华夏投资集团有限公司	湖南华夏投资集团有限公司	2016-10-11	14.58	1000000		
15200887	湖南华夏投资集团有限公司	湖南华夏投资集团有限公司	2016-10-19	15.26	1300000	0	/
152180	国电电力发展股份有限公司	国电电力	11月23日		37782318		
152451	中国水电集团		2012-11-16		10500000		
1526983	慈溪恒通物产有限公司	恒通物产	2007-02-26		2463260		
1529223	红星集团		2007-04-13		3760000		
1529223	红星集团		2007-04-13		7760000		
15303233	深圳证券交易所		2016-10-21		200000		
15303233	深圳证券交易所		2016-10-21		2181875		
15333069	恒大地产集团有限公司		2016-10-28		19007498		
15333069	恒大地产集团有限公司	恒大地产	2016-10-28		19007498		
15333069	恒大地产集团有限公司	恒大地产	2016-10-28		19007498	76032050	0.2
15335572	中通投资有限公司	中通投资	2016-10-24	10.76	4200000		
15335572	中通投资有限公司	中通投资	2016-10-25	10.70	4200000		
15335572	中通投资有限公司	中通投资	2016-10-26	10.47	4200000		
15335572	中通投资有限公司	中通投资	2016-10-27	10.28	4400000		
15335572	中通投资有限公司	中通投资	2016-10-28	10.22	4800000		
15335572	中通投资有限公司	中通投资	2016-10-31	10.10	4360000		
15342056	银江科技集团	银江科技集团	2016-10-28	17.78	500		
15342056	银江科技集团	银江科技集团	2016-11-01	17.68	500	15960.86	24.3384
15349469	浙江盾安人工环境股份有限公司	盾安环境	2016-09-22	11.36	浙江盾安人工环境股份有限公司		
15349469	浙江盾安人工环境股份有限公司	盾安环境	2016-11-03	11.85	浙江盾安人工环境股份有限公司		
153701	康缘集团		2012-04-24		4346373		
153701	康缘集团		2012-04-24		4346400		
15396104	深圳市融信南方投资有限公司	融信南方	2016-11-10	9.29	1000	115294059	12.62
15456633	恒赢30号信托计划	恒赢30号信托计划	2016-11-16		957000	957000	0.0006
15456633	恒赢31号信托计划	恒赢31号信托计划	2016-11-16		930300	930300	0.0006
1545948	京城华威在公司		2007-01-08		12115306		
1545948	北京京城华威投资有限公司	京城华威	2007-01-08		28739482		
1545948	北京京城华威投资有限公司	京城华威	2007-12-26		4199394	24540088	0.0818
15468519	中国华融	中国华融	11月18日	10.57	3065435	51059013	0.1076
15468709	复星谱润	复星谱润	2016-06-16	40.95	45000		
15468709	复星谱润	复星谱润	2016-06-17	40.93	72001		
15485598	华鑫信托计划	华鑫信托计划	2016-11-08	24.4697	376500		
15485598	华鑫信托计划	华鑫信托计划	2016-11-09	24.1505	1104069		
15485598	华鑫信托计划	华鑫信托计划	2016-11-10	24.2917	623700		
15485598	华鑫信托计划	华鑫信托计划	2016-11-11	24.1658	101500		
15485598	华鑫信托计划	华鑫信托计划	2016-11-15	23.0794	287100		
15485598	华鑫信托计划	华鑫信托计划	2016-11-16	23.1591	363100		
15485598	华鑫信托计划	华鑫信托计划	2016-11-17	23.1321	117137	5476296	1.2825
15485598	华鑫信托	华鑫信托	2016-11-18	22.9871	416300		
15485598	华鑫信托计划	华鑫信托计划	2016-11-21	23.3006	779400		
15485598	华鑫信托计划	华鑫信托计划	2016-11-22	23.5445	728290		
15485598	华鑫信托计划	华鑫信托计划	2016-11-23	23.8748	579200	5476296	1.2825
15488762	万向创业投资股份有限公司	万向创业投资股份有限公司	2016/6/15	69.556	万向创业投资股份有限公司		
15488762	万向创业投资股份有限公司	万向创业投资股份有限公司	2016/6/16	75.418	万向创业投资股份有限公司		
15488762	万向创业投资股份有限公司	万向创业投资股份有限公司	2016/6/20	76.772	万向创业投资股份有限公司		
15488762	万向创业投资股份有限公司	万向创业投资股份有限公司	2016/6/29	74.685	万向创业投资股份有限公司		
15488762	万向创业投资股份有限公司	万向创业投资股份有限公司	2016/7/5	73.699	万向创业投资股份有限公司		
15488762	万向创业投资股份有限公司	万向创业投资股份有限公司	2016/7/7	75.522	万向创业投资股份有限公司	19970000	0.0614
15493768	上海证券交易所		2016-07-14		2510730000	125300000	0.0499
15496787	浙江世宝控股集团有限公司	世宝控股	2016-11-28	41.30	1100	8269.3613	0.2618
15523357	控股集团股份有限公司	开山控股	2016-12-05		150000		
15523357	控股集团股份有限公司	开山控股	2016-12-06		372600		
15523357	控股集团股份有限公司	开山控股	2016-12-07		225000		
15524242	海亮金属贸易集团有限公司	海亮金属	2016-12-06		17000000		
15524242	海亮金属贸易集团有限公司	海亮金属	2016-12-07		449500		
15531412	股东烟台金业投资有限公司	金业投资	2016-12-08	14.72	200	0	0
1553394	辽宁方大集团实业有限公司	辽宁方大	2015-03-12		43800000		
1553394	辽宁方大集团实业有限公司	辽宁方大	2015-03-11		40000000	710922128	0.4135
1554219	新疆甬金通达股权投资管理有限公司	新疆甬金通达	2015-03-13	11.95	2973	0	0
15568083	金岸公司	金岸公司	2016-12-14	26.18	500000		
