公告id	增发对象	增发数量	增发金额	锁定期	认购方式
15729476	嘉实基金管理有限公司	450	7830		现金
15729476	九泰基金管理有限公司	476	9010.68		现金
15729476	九泰基金管理有限公司	694	11693.9		现金
15729476	兴全基金管理有限公司	1181	18907.81		现金
15729476	农银汇理（上海）资产管理有限公司	246	4993.8		现金
15729476	中融基金管理有限公司	295	5023.85		现金
15729476	张怀斌	285	5024.55		现金
15729476	张怀斌	352	6001.6		现金
15729476	张怀斌	423	7000.65		现金
15729476	富国资产管理（上海）有限公司	244	4611.6		现金
15729476	天弘基金管理有限公司	280	5398.4		现金
15729476	天弘基金管理有限公司	471	8901.9		现金
15729476	天弘基金管理有限公司	605	11053.35		现金
15729476	鹏华基金管理有限公司	261	4609.26		现金
15729476	东海基金管理有限责任公司	263	4602.5		现金
15729476	东海基金管理有限责任公司	535	9228.75		现金
15729476	汇安基金管理有限责任公司	312	5996.64		现金
15729476	汇安基金管理有限责任公司	443	8000.58		现金
15729476	兴证证券资产管理有限公司	310	5288.6		现金
15729476	南京盛宇涌鑫股权投资中心（有限合伙）	267	4608.42		现金
15729476	安信基金管理有限责任公司	400	8156		现金
15729476	安信基金管理有限责任公司	530	10234.3		现金
15729476	北信瑞丰基金管理有限公司	258	4613.04		现金
15729476	北信瑞丰基金管理有限公司	273	4635.54		现金
15729476	投资者名称	认购股数（万股）	认购金额（万元）		现金
15729476	华安基金管理有限公司	285	4611.3		现金
15729476	易方达资产管理有限公司	326	5969.06		现金
15729476	红土创新基金管理有限公司	229	4625.8		现金
15729476	中意资产管理有限责任公司	197	4605.86		现金
15729476	中意资产管理有限责任公司	456	9297.84		现金
15729476	中意资产管理有限责任公司	539	10408.09		现金
15729476	泰达宏利基金管理有限公司	230	4689.7		现金
15729476	泰达宏利基金管理有限公司	280	5406.8		现金
15729476	泰达宏利基金管理有限公司	492	9284.04		现金
15729476	财通基金管理有限公司	693	13513.5		现金
15729476	财通基金管理有限公司	2195	40278.25		现金
15729476	东海证券股份有限公司	538	9199.8		现金
15729476	华泰柏瑞基金管理有限公司	510	8302.8		现金
15732711	融通众金	28343403	876094608.9		现金
15732711	开源资管	8975411	277429959.48		现金
15732711	金梅花	7085850	219023652.22		现金
15732711	刘展成	4916848	151979782.2		现金
15732711	融金壹号	3779120	116812614.52		现金
15732711	融金叁号	3306730	102211037.7		现金
15732711	岩华投资	2834340	87609460.89		现金
15732711	东源基石	2361950	73007884.07		现金
15832893	北京嘉豪伟业投资中心（有限合伙）	7905138	199999991.4		现金
15832893	前海开源基金管理有限公司	1525952	38606585.6		现金
15864244	华龙证券股份有限公司	5112000	91300320		现金
15864244	大成基金管理有限公司	5319100	94999126		现金
15864244	上海中汇金锐投资管理有限公司	5151100	91998646		现金
15864244	泰达宏利基金管理有限公司	11702100	208999506		现金
15864244	九泰基金管理有限公司	5142200	91839692		现金
15864244	江苏苏豪投资集团有限公司	5111900	91298534		现金
15864244	国投瑞银基金管理有限公司	5111900	91298534		现金
15864244	周雪钦	5111900	91298534		现金
15864244	嘉实基金管理有限公司	3357600	59966736		现金
1587991	银河证券		6780		现金
1587991	理成资产设立的理成定向4号资产管理计划		17831.4		现金
1587991	理成资产设立的理成定向5号资产管理计划		8949.6		现金
1587991	兴业全球基金设立的兴全定增88号资产管理计划		3390		现金
1587991	国泰君安创新投资		5695.2		现金
1587991	黄伟国		5085		现金
1587991	董博		3390		现金
1590472	沈机集团		15000		现金
1590472	2号资管计划		15000		现金
1590472	紫光智能		200000		现金
1590472	紫光四点零		100000		现金
1600798	李华青		25447.5		现金
1600798	合力投资		7250		现金
1600798	西藏瑞华		45000		现金
1600798	弘德源		30000		现金
1600798	财通基金拟设立的资产管理计划		22000		现金
1600798	时则投资		10000		现金
16022967	淮矿集团		281999990.16		现金
16022967	皖投工投		70499997.54		现金
16022967	铁路基金		70499997.54		现金
1613124	深圳前海易德资本优势股权投资基金合伙企业（有限合伙）		217762160		现金
1613124	深圳前海易德顺升股权投资基金合伙企业（有限合伙）		108717840		现金
1613139	张维仰		213328000		现金
1613139	平安资管		298500000		现金
1613139	中民投资本		298500000		现金
1613139	六禾淳钧		298500000		现金
1613139	中欧盛世		298500000		现金
1613139	嘉实基金		199000000		现金
1613139	长城嘉信		199000000		现金
1613139	上海朱雀		199000000		现金
1613139	深圳中明智		199000000		现金
1613139	前海开源		99500000		现金
16145319	华信工业	638977635			现金
16145319	盈灿投资	449201277			现金
16145319	泰元投资	399361022			现金
16145319	泰熙投资	159744408			现金
16314400	上海交大产业投资管理（集团）有限公司		59257751.1		现金
16314400	上海交大企业管理中心		59257751.1		现金
16314400	上海赛领并购投资基金合伙企业（有限合伙）		118515523.77		现金
16314400	上海诚鼎新扬子投资合伙企业（有限合伙）		118515523.77		现金
16314400	上海赛领讯达股权投资基金合伙企业（有限合伙）		118515523.77		现金
16314400	东方国际集团上海投资有限公司		59257751.1		现金
16314400	毛蔚瀛		59257772.67		现金
1631487	财通基金拟设立的资产管理计划		9190		现金
1631487	汇添富基金拟设立的资产管理计划		31363.2		现金
1631487	平安资管拟设立的资产管理计划		29040		现金
1631487	天堂硅谷久鸿		19360		现金
1631487	嘉实基金管理的全国社保基金五零四组合		17424		现金
1631487	朱雀资管作为普通合伙人和执行事务合伙人拟设立的有限合伙企业		17424		现金
1631487	和谐健康		17424		现金
1631487	上海国诣		17424		现金
1631487	舟ft隆德		15488		现金
16357069	新力达集团		239999846.4		现金
16357069	江西伟宸		59999961.6		现金
16357069	沈培今		190559808		现金
16357069	博启投资		109440000		现金
1643849	吴艳		999999997.7		现金
1643849	方德智联		699999983.65		现金
1643849	雄健投资		199999984.8		现金
1643849	奥鑫控股		199999984.8		现金
1643849	天津和达		300000014.05		现金
1651428	财通基金管理有限公司		259999997.4		现金
1651428	华宝信托有限责任公司		129999998.7		现金
1651428	东海基金管理有限责任公司		64184807.7		现金
1651428	发行对象		认购金额（元）		现金
1651428	北信瑞丰基金管理有限公司		129999998.7		现金
1651428	上海广翰投资管理有限公司		199999998.9		现金
1651428	申万菱信（上海）资产管理有限公司		159999997.95		现金
1651428	渤海证券股份有限公司		129999998.7		现金
1651428	广发证券股份有限公司		129999998.7		现金
1657801	南午北安财富		3600000002.8		现金
1657801	长沙恒健		2999999998.4		现金
1657801	横琴鸿拓		2999999998.4		现金
1657801	天时（深圳）基金		2999999998.4		现金
1657801	中英益利－京盛资产管理计划		2999999998.4		现金
1657801	温州合瑞		2799999998.9		现金
1657801	华安资产航盛1号专项资产管理计划		2318000000.4		现金
1657801	国金鼎兴资本－中润定增基金		2181999997.2		现金
1657801	杉杉正盛		2000000000.9		现金
1657801	发行对象		认购金额（元）		现金
1657801	博乐公司		3468136780		现金
16698184	江淮汽车		194860000		现金
16698184	国购控股		340980000		现金
1676490	唐灼林	12254902	10000		现金
1676490	郭旭	12254902	10000		现金
1676490	建投投资有限责任公司	24509803	20000		现金
1676490	盛稷股权投资基金（上海）有限公司	12254902	10000		现金
1676490	西藏自治区投资有限公司	12254902	10000		现金
1680034	林汝捷		18275		现金
1680034	郑志树		8600		现金
1680034	陈胜		6665		现金
1680034	陈存忠		6020		现金
1680034	福建盈科创业投资有限公司		1827.5		现金
1680034	赵建光		1612.5		现金
16903739	广州汇垠天粤股权投资基金管理有限公司		5999999990.82		现金
16903739	广州国资发展控股有限公司		2999999995.41		现金
16903739	广州金控资产管理有限公司管理的广金优选3号基金		2999999995.41		现金
16903739	广州轻工工贸集团有限公司		1499999987.75		现金
16903739	穗甬控股有限公司		1499999987.75		现金
1692788	黄壮勉	140625000	1395000000		现金
1692788	深圳前海骏马投资管理有限公司	10584677	104999995.84		现金
1698473	范晓东	13888888	159999989.76		现金
1698473	杨森	13888888	159999989.76		现金
1698473	新疆广泰	11284722	129999997.44		现金
1698473	重庆信三威	14756944	169999994.88		现金
1716311	陈建国		44475.5454		现金
1716311	陶永生		43173		现金
1716311	倪利锋		43173		现金
1716311	强雪忠		43173		现金
1716311	申万宏源领航9号		43173		现金
1716311	中欧盛世景鑫4号		43173		现金
1716311	泰达宏利价值成长234号		43173		现金
1716311	齐鲁碧辰5号		43173		现金
1716311	昆山创投		13858		现金
1719971	远大集团		3293541907.95		现金
1719971	华东医药集团		206458078.32		现金
1723808	紫光育才		2039999995.31		现金
1723808	长城嘉信		544999983.79		现金
1723808	健坤长青		29999991.21		现金
1723808	学思投资		384999992.41		现金
1723808	乐金兄弟		129999981.04		现金
1723808	乐耘投资		1429999982.74		现金
1723808	谷多投资		269999997.41		现金
1723808	科劲投资		269999997.41		现金
1723808	国研宝业		199999998.79		现金
1723808	银润投资首期1号员工持股计划		199999998.79		现金
1724054	新疆国鸿志翔股权投资合伙企业（有限合伙）		95410		现金
1724054	西藏昌盛亨达股权投资合伙企业（有限合伙）		38010		现金
1724054	新疆广域瑞乾股权投资合伙企业（有限合伙）		37000		现金
1724054	西藏文禾盛茂股权投资合伙企业（有限合伙）		35180		现金
1724054	兰州通天至达网络科技有限公司		35000		现金
1724054	李彬		30000		现金
1724054	兰州天星伟业电子科技有限公司		20000		现金
1724054	兰州鼎乾商贸有限公司		20000		现金
1724054	湖南盛建农业投资有限公司		20000		现金
1724054	新疆鼎浩源股权投资有限公司		5000		现金
1733425	建信基金	295081966	3599999985.2		现金
1733425	瑞丰资产	90163934	1099999994.8		现金
1733425	浙银汇智拟设立的杭州汇智	16199180	197629996		现金
1757104	财通基金管理有限公司		41035000		现金
1757104	中新建招商股权投资有限公司		18395000		现金
1757104	第一创业证券股份有限公司		15565000		现金
1757104	招商基金管理有限公司		13004982		现金
1786511	盛合汇富		399999910		现金
1786511	中融鼎新		209350000		现金
1786511	陈利泉		99999780		现金
1786511	宝益16号资管计划		147730000		现金
1789601	阳煤金陵		100000		现金
1789601	金陵恒毅		50000		现金
1789601	金陵阳明		50000		现金
1801152	华方医药科技有限公司	53214133			现金
1808781	平安佳赢1号		24999.99		现金
1808781	中金投资		24999.99		现金
1808781	广发原驰资管计划		4644.4		现金
1808781	中融信创		6000.02		现金
1808781	清远长实		3999.99		现金
1811418	王代雪	5232558	67499998.2		现金
1811418	京湖资本	7751937	99999987.3		现金
1811418	李晓祥	5232558	67499998.2		现金
1811418	刘宁	1162790	14999991		现金
1814594	保利久联集团	5507.9559			现金
1814594	保利投资	611.9951			现金
1814594	国寿资产	611.9951			现金
1814594	泰康资产	611.9951			现金
1814594	新华保险	611.9951			现金
1814594	太平洋资产	611.9951			现金
1814594	中信证券	611.9951			现金
1814594	南方资本	917.9927			现金
1814594	汇添富基金	917.9927			现金
1814594	光大保德信	7343.9412			现金
1819260	上海界龙集团有限公司		19596		现金
1819260	南通乐源汇达资产管理有限公司		24495		现金
1819260	建信基金管理有限责任公司		34293		现金
1819260	三一重工股份有限公司		19596		现金
1824087	ft东晨德投资有限公司		43117184.34		现金
1824087	潍坊美晨投资有限公司		104999997.24		现金
1824087	赛石集团有限公司		363828127.5		现金
1824087	杭州晨德投资管理有限公司		99999994.14		现金
1824087	常州京治资本管理有限公司		199999993.5		现金
18285629	杨建平		112499950.4		现金
18285629	嘉实基金		89999954.4		现金
18285629	新华基金		59999969.6		现金
18285629	金禾创投		37499973.6		现金
1834732	玉环捷瑞		82074.82		现金
1834732	宁波裕盛		70000		现金
1834732	宁波雨博		58000		现金
1834732	上海爽达		64300		现金
1834732	上海喜待		63000		现金
1834732	宁波万福		50000		现金
1834732	北京天晟		30000		现金
1834732	上海哲萱		30000		现金
1834732	宁波骏和		25000		现金
1834732	深圳名正		25000		现金
1845165	郭仁祥		50000		现金
1845165	宋新军		25000		现金
1845165	兴证资管鑫众—吉艾科技1号定向资产管理计划		10000		现金
1845165	北信瑞丰基金管理有限公司		10000		现金
1845165	南通元鼎投资有限公司		5000		现金
1848359	吴延炜	803.4424	4668		现金
1848359	梁富华	500	2905		现金
1848359	宋伟民	300	1743		现金
1848359	刘忠池	300	1743		现金
1848359	银华资本	10796.5576	62728		现金
1851822	重庆信三威投资咨询中心（有限合伙）	119521912			现金
1851822	陕西省国际信托股份有限公司	37848605			现金
1851822	信达证券股份有限公司	38844621			现金
1851822	财通基金管理有限公司	40936254			现金
1851822	青岛城投金融控股集团有限公司	37848605			现金
1851822	安徽省铁路建设投资基金有限公司	49800796			现金
1851822	申万菱信（上海）资产管理有限公司	50796812			现金
1851822	申万菱信基金管理有限公司	2888450			现金
1854996	厚康实业		100151.4		现金
1854996	永冠贸易		25037.85		现金
1856926	三峡集团	956022944			现金
1856926	陕煤化集团	202676864			现金
1876486	卧龙控股集团有限公司	26874470	241063995.9		现金
1876486	光大保德信-光大卧龙战略投资资产管理计划	76301449	684423997.53		现金
1876486	安徽省投资集团控股有限公司	22296544	199999999.68		现金
1876486	安徽省铁路建设投资基金有限公司	22296544	199999999.68		现金
1876486	温州隆涵贸易有限公司	1610702	14447996.94		现金
1876486	杭州百赛贸易有限公司	12885618	115583993.46		现金
1876486	陈建成	4832107	43343999.79		现金
1876486	陈永苗	1610702	14447996.94		现金
1876486	王建乔	9664214	86687999.58		现金
1876490	卧龙控股集团有限公司	26874470	241063995.9		现金
1876490	光大保德信-光大卧龙战略投资资产管理计划	76301449	684423997.53		现金
1876490	安徽省投资集团控股有限公司	22296544	199999999.68		现金
1876490	安徽省铁路建设投资基金有限公司	22296544	199999999.68		现金
1876490	温州隆涵贸易有限公司	1610702	14447996.94		现金
1876490	杭州百赛贸易有限公司	12885618	115583993.46		现金
1876490	陈建成	4832107	43343999.79		现金
1876490	陈永苗	1610702	14447996.94		现金
1876490	王建乔	9664214	86687999.58		现金
1878742	厦门当代旅游资源开发有限公司		301849998.6		现金
1878742	北京金汇丰盈投资中心（有限合伙）		78150000		现金
1878746	厦门当代旅游资源开发有限公司		301849998.6		现金
1878746	北京金汇丰盈投资中心（有限合伙）		78150000		现金
1880248	天津百利机械装备集团有限公司	8455035			现金
1880248	天弘基金管理有限公司	9223673			现金
1880248	建信基金管理有限责任公司	8528823			现金
1880248	泰达宏利基金管理有限公司	9223674			现金
1880248	创金合信基金管理有限公司	8455034			现金
1880248	财通基金管理有限公司	25411222			现金
1880248	东海基金管理有限责任公司	8500000			现金
1880248	第一创业证券股份有限公司	6752884			现金
18839000	林建伟	50231387	1180437594.5		现金
18839000	林峻	3959147	93039954.5		现金
18839000	陶晓海	3959147	93039954.5		现金
1890247	金河建安		131500000		现金
1890247	昌福兴		78900000		现金
1890247	上银基金		263000000		现金
